reference_file,ref_genre,query_file,transform,severity,top_track_id,top_filename,top_genre,top_score,hit_top1,hit_topk,rank,num_matches
blues.00000.wav,blues,blues.00000_orig.wav,orig,none,af13f3b3694b4dfabb41a68e038fbb61,blues.00000.wav,blues,0.9963,1,1,1,2
blues.00000.wav,blues,blues.00000_pitch_m4.wav,pitch,m4,af13f3b3694b4dfabb41a68e038fbb61,blues.00000.wav,blues,0.9955,1,1,1,3
blues.00000.wav,blues,blues.00000_pitch_m2.wav,pitch,m2,af13f3b3694b4dfabb41a68e038fbb61,blues.00000.wav,blues,0.9951,1,1,1,3
blues.00000.wav,blues,blues.00000_pitch_p2.wav,pitch,p2,af13f3b3694b4dfabb41a68e038fbb61,blues.00000.wav,blues,0.9948,1,1,1,2
blues.00000.wav,blues,blues.00000_pitch_p4.wav,pitch,p4,8d5084ea9957427ebd2c1cd1f6576096,reggae.00000.wav,reggae,0.9904,0,0,,3
blues.00000.wav,blues,blues.00000_tempo_0_85.wav,tempo,0_85,af13f3b3694b4dfabb41a68e038fbb61,blues.00000.wav,blues,0.9958,1,1,1,3
blues.00000.wav,blues,blues.00000_tempo_1_15.wav,tempo,1_15,d2b4ee0f1d3d4604ba92fbd070a30338,disco.00000.wav,disco,0.9940,0,1,2,3
blues.00000.wav,blues,blues.00000_noise_snr20.wav,noise,snr20,af13f3b3694b4dfabb41a68e038fbb61,blues.00000.wav,blues,0.9961,1,1,1,2
blues.00000.wav,blues,blues.00000_noise_snr10.wav,noise,snr10,a897d5031b6946278a1cccfe8b4d0459,hiphop.00002.wav,hiphop,0.9932,0,1,4,4
blues.00000.wav,blues,blues.00000_crop_1_0s.wav,crop,1_0s,af13f3b3694b4dfabb41a68e038fbb61,blues.00000.wav,blues,0.9963,1,1,1,2
blues.00000.wav,blues,blues.00000_crop_2_0s.wav,crop,2_0s,af13f3b3694b4dfabb41a68e038fbb61,blues.00000.wav,blues,0.9963,1,1,1,2
blues.00000.wav,blues,blues.00000_bandpass_phone.wav,bandpass,phone,8d5084ea9957427ebd2c1cd1f6576096,reggae.00000.wav,reggae,0.9914,0,0,,4
blues.00000.wav,blues,blues.00000_bandpass_laptop.wav,bandpass,laptop,8d5084ea9957427ebd2c1cd1f6576096,reggae.00000.wav,reggae,0.9945,0,1,2,4
blues.00000.wav,blues,blues.00000_compound_phone_snr15.wav,compound,phone_snr15,c20c7551e79f420fb6c63c07a3a5ccf8,reggae.00002.wav,reggae,0.9921,0,0,,4
blues.00000.wav,blues,blues.00000_compound_laptop_snr15.wav,compound,laptop_snr15,8d5084ea9957427ebd2c1cd1f6576096,reggae.00000.wav,reggae,0.9952,0,1,2,4
blues.00000.wav,blues,blues.00000_lossy_mp3_64k.wav,lossy,mp3_64k,af13f3b3694b4dfabb41a68e038fbb61,blues.00000.wav,blues,0.9960,1,1,1,2
blues.00000.wav,blues,blues.00000_lossy_mp3_96k.wav,lossy,mp3_96k,af13f3b3694b4dfabb41a68e038fbb61,blues.00000.wav,blues,0.9961,1,1,1,2
blues.00001.wav,blues,blues.00001_orig.wav,orig,none,d52c8b3100194f65bb1c419a7f1e8d33,blues.00001.wav,blues,0.9999,1,1,1,2
blues.00001.wav,blues,blues.00001_pitch_m4.wav,pitch,m4,5df8f8881a3d4d5880980578b4881d67,rock.00003.wav,rock,0.9998,0,1,2,5
blues.00001.wav,blues,blues.00001_pitch_m2.wav,pitch,m2,d52c8b3100194f65bb1c419a7f1e8d33,blues.00001.wav,blues,0.9998,1,1,1,3
blues.00001.wav,blues,blues.00001_pitch_p2.wav,pitch,p2,c20c7551e79f420fb6c63c07a3a5ccf8,reggae.00002.wav,reggae,0.9983,0,0,,2
blues.00001.wav,blues,blues.00001_pitch_p4.wav,pitch,p4,5df8f8881a3d4d5880980578b4881d67,rock.00003.wav,rock,0.9986,0,0,,2
blues.00001.wav,blues,blues.00001_tempo_0_85.wav,tempo,0_85,5df8f8881a3d4d5880980578b4881d67,rock.00003.wav,rock,0.9998,0,1,2,5
blues.00001.wav,blues,blues.00001_tempo_1_15.wav,tempo,1_15,d52c8b3100194f65bb1c419a7f1e8d33,blues.00001.wav,blues,0.9994,1,1,1,2
blues.00001.wav,blues,blues.00001_noise_snr20.wav,noise,snr20,d52c8b3100194f65bb1c419a7f1e8d33,blues.00001.wav,blues,0.9987,1,1,1,4
blues.00001.wav,blues,blues.00001_noise_snr10.wav,noise,snr10,d2b4ee0f1d3d4604ba92fbd070a30338,disco.00000.wav,disco,0.9953,0,0,,3
blues.00001.wav,blues,blues.00001_crop_1_0s.wav,crop,1_0s,d52c8b3100194f65bb1c419a7f1e8d33,blues.00001.wav,blues,0.9999,1,1,1,2
blues.00001.wav,blues,blues.00001_crop_2_0s.wav,crop,2_0s,d52c8b3100194f65bb1c419a7f1e8d33,blues.00001.wav,blues,0.9999,1,1,1,2
blues.00001.wav,blues,blues.00001_bandpass_phone.wav,bandpass,phone,6f15ff4353b24a83bf9b89a8c466f278,classical.00003.wav,classical,0.9995,0,0,,2
blues.00001.wav,blues,blues.00001_bandpass_laptop.wav,bandpass,laptop,41ffbf493c39451cbf40a474a7aeccfb,rock.00000.wav,rock,0.9988,0,0,,3
blues.00001.wav,blues,blues.00001_compound_phone_snr15.wav,compound,phone_snr15,5df8f8881a3d4d5880980578b4881d67,rock.00003.wav,rock,0.9975,0,1,2,4
blues.00001.wav,blues,blues.00001_compound_laptop_snr15.wav,compound,laptop_snr15,c20c7551e79f420fb6c63c07a3a5ccf8,reggae.00002.wav,reggae,0.9976,0,0,,2
blues.00001.wav,blues,blues.00001_lossy_mp3_64k.wav,lossy,mp3_64k,d52c8b3100194f65bb1c419a7f1e8d33,blues.00001.wav,blues,0.9999,1,1,1,2
blues.00001.wav,blues,blues.00001_lossy_mp3_96k.wav,lossy,mp3_96k,d52c8b3100194f65bb1c419a7f1e8d33,blues.00001.wav,blues,1.0000,1,1,1,2
blues.00002.wav,blues,blues.00002_orig.wav,orig,none,f2dd96dd29b84a0d878a5940f55ec18f,blues.00002.wav,blues,0.9937,1,1,1,2
blues.00002.wav,blues,blues.00002_pitch_m4.wav,pitch,m4,aff666dcc46d45dcb02c64ae4b8dae1a,classical.00000.wav,classical,0.9910,0,1,3,3
blues.00002.wav,blues,blues.00002_pitch_m2.wav,pitch,m2,f2dd96dd29b84a0d878a5940f55ec18f,blues.00002.wav,blues,0.9853,1,1,1,2
blues.00002.wav,blues,blues.00002_pitch_p2.wav,pitch,p2,f2dd96dd29b84a0d878a5940f55ec18f,blues.00002.wav,blues,0.9858,1,1,1,3
blues.00002.wav,blues,blues.00002_pitch_p4.wav,pitch,p4,d2b4ee0f1d3d4604ba92fbd070a30338,disco.00000.wav,disco,0.9862,0,1,2,3
blues.00002.wav,blues,blues.00002_tempo_0_85.wav,tempo,0_85,f2dd96dd29b84a0d878a5940f55ec18f,blues.00002.wav,blues,0.9789,1,1,1,3
blues.00002.wav,blues,blues.00002_tempo_1_15.wav,tempo,1_15,f2dd96dd29b84a0d878a5940f55ec18f,blues.00002.wav,blues,0.9888,1,1,1,2
blues.00002.wav,blues,blues.00002_noise_snr20.wav,noise,snr20,f2dd96dd29b84a0d878a5940f55ec18f,blues.00002.wav,blues,0.9928,1,1,1,2
blues.00002.wav,blues,blues.00002_noise_snr10.wav,noise,snr10,556a23a57f044ffd9f5c325c5d929989,pop.00004.wav,pop,0.9861,0,0,,3
blues.00002.wav,blues,blues.00002_crop_1_0s.wav,crop,1_0s,f2dd96dd29b84a0d878a5940f55ec18f,blues.00002.wav,blues,0.9900,1,1,1,1
blues.00002.wav,blues,blues.00002_crop_2_0s.wav,crop,2_0s,f2dd96dd29b84a0d878a5940f55ec18f,blues.00002.wav,blues,0.9900,1,1,1,1
blues.00002.wav,blues,blues.00002_bandpass_phone.wav,bandpass,phone,ac141aa677e64949a146c70756a37e3e,classical.00004.wav,classical,0.9837,0,1,2,4
blues.00002.wav,blues,blues.00002_bandpass_laptop.wav,bandpass,laptop,f2dd96dd29b84a0d878a5940f55ec18f,blues.00002.wav,blues,0.9880,1,1,1,2
blues.00002.wav,blues,blues.00002_compound_phone_snr15.wav,compound,phone_snr15,ac141aa677e64949a146c70756a37e3e,classical.00004.wav,classical,0.9826,0,0,,3
blues.00002.wav,blues,blues.00002_compound_laptop_snr15.wav,compound,laptop_snr15,f2dd96dd29b84a0d878a5940f55ec18f,blues.00002.wav,blues,0.9917,1,1,1,4
blues.00002.wav,blues,blues.00002_lossy_mp3_64k.wav,lossy,mp3_64k,f2dd96dd29b84a0d878a5940f55ec18f,blues.00002.wav,blues,0.9916,1,1,1,1
blues.00002.wav,blues,blues.00002_lossy_mp3_96k.wav,lossy,mp3_96k,f2dd96dd29b84a0d878a5940f55ec18f,blues.00002.wav,blues,0.9936,1,1,1,2
blues.00003.wav,blues,blues.00003_orig.wav,orig,none,d7f0289375c94f7896d55822dc5d8dac,blues.00003.wav,blues,0.9985,1,1,1,1
blues.00003.wav,blues,blues.00003_pitch_m4.wav,pitch,m4,d7f0289375c94f7896d55822dc5d8dac,blues.00003.wav,blues,0.9973,1,1,1,2
blues.00003.wav,blues,blues.00003_pitch_m2.wav,pitch,m2,d7f0289375c94f7896d55822dc5d8dac,blues.00003.wav,blues,0.9952,1,1,1,2
blues.00003.wav,blues,blues.00003_pitch_p2.wav,pitch,p2,d7f0289375c94f7896d55822dc5d8dac,blues.00003.wav,blues,0.9975,1,1,1,1
blues.00003.wav,blues,blues.00003_pitch_p4.wav,pitch,p4,d7f0289375c94f7896d55822dc5d8dac,blues.00003.wav,blues,0.9955,1,1,1,1
blues.00003.wav,blues,blues.00003_tempo_0_85.wav,tempo,0_85,d7f0289375c94f7896d55822dc5d8dac,blues.00003.wav,blues,0.9970,1,1,1,1
