query_file,transform,severity,top_track_id,top_filename,top_score,top_hits,hit_top1,hit_topk,rank,num_matches
blues.00003_bandpass_laptop.wav,bandpass,laptop,c3843623cb9f4b59986c660c752c9550,blues.00003.wav,0.9937497235019531,5,1,1,1,1
blues.00003_bandpass_phone.wav,bandpass,phone,c3843623cb9f4b59986c660c752c9550,blues.00003.wav,0.9957332899122433,5,1,1,1,1
blues.00003_compound_laptop_snr15.wav,compound,laptop_snr15,c3843623cb9f4b59986c660c752c9550,blues.00003.wav,0.9936259377192173,5,1,1,1,1
blues.00003_compound_phone_snr15.wav,compound,phone_snr15,c3843623cb9f4b59986c660c752c9550,blues.00003.wav,0.9956470287139532,5,1,1,1,1
blues.00003_crop_1_0s.wav,crop,1_0s,c3843623cb9f4b59986c660c752c9550,blues.00003.wav,0.9980027579641547,5,1,1,1,1
blues.00003_crop_2_0s.wav,crop,2_0s,c3843623cb9f4b59986c660c752c9550,blues.00003.wav,0.9980027579641547,5,1,1,1,1
blues.00003_lossy_mp3_64k.wav,lossy,mp3_64k,c3843623cb9f4b59986c660c752c9550,blues.00003.wav,0.9984668510073309,5,1,1,1,1
blues.00003_lossy_mp3_96k.wav,lossy,mp3_96k,c3843623cb9f4b59986c660c752c9550,blues.00003.wav,0.9984432643493,5,1,1,1,1
blues.00003_noise_snr10.wav,noise,snr10,c3843623cb9f4b59986c660c752c9550,blues.00003.wav,0.9757447947134652,5,1,1,1,1
blues.00003_noise_snr20.wav,noise,snr20,c3843623cb9f4b59986c660c752c9550,blues.00003.wav,0.9963239537213955,5,1,1,1,1
blues.00003_orig.wav,orig,none,c3843623cb9f4b59986c660c752c9550,blues.00003.wav,0.9984594127408922,5,1,1,1,1
blues.00003_pitch_m2.wav,pitch,m2,c3843623cb9f4b59986c660c752c9550,blues.00003.wav,0.9945685717002487,5,1,1,1,1
blues.00003_pitch_m4.wav,pitch,m4,c3843623cb9f4b59986c660c752c9550,blues.00003.wav,0.9970103012308762,5,1,1,1,1
blues.00003_pitch_p2.wav,pitch,p2,c3843623cb9f4b59986c660c752c9550,blues.00003.wav,0.9975353214400899,5,1,1,1,1
blues.00003_pitch_p4.wav,pitch,p4,c3843623cb9f4b59986c660c752c9550,blues.00003.wav,0.9954823645863466,5,1,1,1,1
blues.00003_tempo_0_85.wav,tempo,0_85,c3843623cb9f4b59986c660c752c9550,blues.00003.wav,0.9969902640597814,5,1,1,1,1
blues.00003_tempo_1_15.wav,tempo,1_15,c3843623cb9f4b59986c660c752c9550,blues.00003.wav,0.9968112151816154,5,1,1,1,1
